ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
2589,Marc Robert Alexandre,M,28,170,73,France,FRA,1988 Summer,1988,Summer,Seoul,Judo,Judo Men's Lightweight,Gold
2723,Gaston Jules Louis Antoine Alibert,M,30,NA,NA,France,FRA,1908 Summer,1908,Summer,London,Fencing,"Fencing Men's epee, Individual",Gold
2735,Sergey Gennadyevich Alifirenko,M,41,168,72,Russia,RUS,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
2737,Vladimir Aleksandrovich Alikin,M,22,NA,NA,Soviet Union,URS,1980 Winter,1980,Winter,Lake Placid,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
2755,Aleksey Aleksandrovich Alipov,M,29,175,80,Russia,RUS,2004 Summer,2004,Summer,"Athens,GR",Shooting,Shooting Men's Trap,Gold
2756,Georgios Aliprantis,M,NA,NA,NA,Greece,GRE,1906 Summer,1906,Summer,"Athens,GR",Gymnastics,Gymnastics Men's Rope Climbing,Gold
2758,Alison Conte Cerutti,M,30,203,106,Brazil-1,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Gold
2832,"William Charles ""Bill"" Allen",M,24,188,95,United States,USA,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,Gold
2849,"Katherine Jessie Jean ""Kate"" Allen (-Diechtler)",F,34,163,53,Austria,AUT,2004 Summer,2004,Summer,"Athens,GR",Triathlon,Triathlon Women's Olympic Distance,Gold
5658,Hera-1,M,36,NA,NA,Hera-1,GBR,1908 Summer,1908,Summer,London,Sailing,Sailing Mixed 12 metres,Gold
2882,Nykjbings paa Falster,M,30,NA,NA,Nykjbings paa Falster,DEN,1912 Summer,1912,Summer,Stockholm,Rowing,"Rowing Men's Coxed Fours, Inriggers",Gold
3069,Thomas Alsgaard (Alsgrd-),M,22,190,82,Norway,NOR,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Gold
3069,Thomas Alsgaard (Alsgrd-),M,26,190,82,Norway,NOR,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,Gold
3069,Thomas Alsgaard (Alsgrd-),M,30,190,82,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 10/10 kilometres Pursuit,Gold
106938,Team Australia,F,NA,NA,NA,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
120087,Team Australia,M,NA,NA,NA,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
42771,Team Australia,M,NA,NA,NA,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
3118,Jeannette Eleanor Altwegg (-Wirz),F,21,NA,NA,Great Britain,GBR,1952 Winter,1952,Winter,Oslo,Figure Skating,Figure Skating Women's Singles,Gold
3245,Anatoly Nikolayevich Alyabyev,M,28,NA,NA,Soviet Union,URS,1980 Winter,1980,Winter,Lake Placid,Biathlon,Biathlon Men's 20 kilometres,Gold
3245,Anatoly Nikolayevich Alyabyev,M,28,NA,NA,Soviet Union,URS,1980 Winter,1980,Winter,Lake Placid,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Gold
3281,Simona Amnar (-Tabr),F,16,158,44,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Horse Vault,Gold
3281,Simona Amnar (-Tabr),F,20,158,44,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,Gold
3321,Jean-Pierre Bernard Andr Amat,M,34,175,74,France,FRA,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
3398,Rolf-Dieter Amend,M,23,173,74,East Germany-1,GDR,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
3472,Simon Ammann,M,20,171,55,Switzerland,SUI,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold
3472,Simon Ammann,M,20,171,55,Switzerland,SUI,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Gold
3472,Simon Ammann,M,28,171,55,Switzerland,SUI,2010 Winter,2010,Winter,Vancouver,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold
3472,Simon Ammann,M,28,171,55,Switzerland,SUI,2010 Winter,2010,Winter,Vancouver,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Gold
3493,Edward John Amoore,M,31,NA,NA,Great Britain,GBR,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",Gold
119835,Team Australia,F,NA,NA,NA,Australia,AUS,2004 Summer,2004,Summer,"Athens,GR",Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
3563,"Francis ""Frank"" Amyot",M,31,188,84,Canada,CAN,1936 Summer,1936,Summer,Berlin,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
3567,An Byeong-Geun,M,22,172,78,South Korea,KOR,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Lightweight,Gold
3581,An Han-Bong,M,23,163,62,South Korea,KOR,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold
3593,An Kum-Ae,F,32,160,52,North Korea,PRK,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Lightweight,Gold
3604,Viktor An,M,20,170,65,South Korea,KOR,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Gold
3604,Viktor An,M,20,170,65,South Korea,KOR,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",Gold
3604,Viktor An,M,28,170,65,Russia,RUS,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Gold
3604,Viktor An,M,28,170,65,Russia,RUS,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Gold
3672,milie Andol,F,28,170,97,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Heavyweight,Gold
3673,Olle Henrik Martin Anderberg,M,32,NA,NA,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
3686,Alf Steen Andersen,M,21,NA,NA,Norway,NOR,1928 Winter,1928,Winter,Sankt Moritz,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold
3706,Carl-Ebbe Andersen,M,19,NA,NA,Denmark,DEN,1948 Summer,1948,Summer,London,Rowing,Rowing Men's Coxed Pairs,Gold
3725,"Greta Marie Andersen (-Sonnichsen, -Veress)",F,21,NA,NA,Denmark,DEN,1948 Summer,1948,Summer,London,Swimming,Swimming Women's 100 metres Freestyle,Gold
3734,Hjalmar Johan Andersen,M,28,NA,NA,Norway,NOR,1952 Winter,1952,Winter,Oslo,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
3734,Hjalmar Johan Andersen,M,28,NA,NA,Norway,NOR,1952 Winter,1952,Winter,Oslo,Speed Skating,"Speed Skating Men's 5,000 metres",Gold
3734,Hjalmar Johan Andersen,M,28,NA,NA,Norway,NOR,1952 Winter,1952,Winter,Oslo,Speed Skating,"Speed Skating Men's 10,000 metres",Gold
3760,Linda Widwey Andersen (-Cerup-Simonsen),F,23,169,64,Norway,NOR,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Women's One Person Dinghy,Gold
120958,Team Australia,M,NA,NA,NA,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Coxless Fours,Gold
44569,Team Australia,M,NA,NA,NA,Australia,AUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
72280,Janne Lundblad,M,43,NA,NA,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Equestrianism,"Equestrianism Men's Dressage, Individual",Gold
3815,Gary Lee Anderson,M,25,183,77,United States,USA,1964 Summer,1964,Summer,Tokyo,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
3815,Gary Lee Anderson,M,29,183,77,United States,USA,1968 Summer,1968,Summer,Mexico City,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres",Gold
3823,Jamie Louise Anderson,F,23,160,54,United States,USA,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Women's Slopestyle,Gold
3824,Jasey-Jay Anderson,M,34,178,80,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Parallel Giant Slalom,Gold
3828,John Franklin Anderson,M,25,191,97,United States,USA,1932 Summer,1932,Summer,Los Angeles,Track and Field,Track and Field Men's Discus Throw,Gold
3831,John Edward Anderson,M,33,183,89,Australia,AUS,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Two Person Keelboat,Gold
3854,Paul Edward Anderson,M,24,178,141,United States,USA,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Heavyweight,Gold
3864,"Thomas James ""Tom"" Anderson",M,33,183,89,Australia,AUS,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,Gold
3880,Agneta Monica Andersson,F,23,172,68,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
3880,Agneta Monica Andersson,F,23,172,68,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
3880,Agneta Monica Andersson,F,35,172,68,Sweden,SWE,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Gold
38195,Team Australia,F,NA,NA,NA,Australia,AUS,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
3918,Erik Gsta Andersson,M,31,NA,NA,Sweden,SWE,1948 Summer,1948,Summer,London,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Gold
40449,Team Australia,M,NA,NA,NA,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Fours,Gold
3951,Lina Marie Andersson,F,24,158,58,Sweden,SWE,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's Team Sprint,Gold
4007,Soslan Petrovich Andiyev,M,24,194,125,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
4007,Soslan Petrovich Andiyev,M,28,194,125,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
4094,Alessandro Andrei,M,25,191,118,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Track and Field,Track and Field Men's Shot Put,Gold
